rank,p_standard,p_smooth_gamma0.5
1,0.07728490221943687,0.04234258603194369
2,0.07690513816402172,0.04223842600715867
3,0.07043439413124926,0.0404224320169404
4,0.06913464935452096,0.04004773236668269
5,0.06411798029604332,0.0385673646938366
6,0.06198000861988296,0.037918911663001015
7,0.05061532431201168,0.03426660352230019
8,0.048592405165216686,0.033574862717645836
9,0.04798461438240981,0.033364225839045684
10,0.03964996360413554,0.0303285358170683
11,0.036223131534932666,0.028988319822325432
12,0.03018704653990755,0.02646307818151299
13,0.026787991322512212,0.024928728201311742
14,0.024736409734273063,0.023955121651729017
15,0.024605507877306296,0.02389165388343932
16,0.023430583637226155,0.023314258155193706
17,0.02249413507965113,0.022843607900663507
18,0.014702888419052979,0.01846848956602091
19,0.013359207706440815,0.01760436639425217
20,0.012212692179915025,0.016832001188657863
21,0.012004256333552406,0.016687745890581838
22,0.011840868234524108,0.016573789621808638
23,0.011734567745142426,0.016499226934664886
24,0.011381792454271348,0.016249327009467105
25,0.009138440272312353,0.014560157959369989
26,0.00874861581048957,0.01424622241335858
27,0.00871634205293062,0.014219920884350768
28,0.00782405558324086,0.013472432341465604
29,0.007466122205802274,0.013160657737764614
30,0.005833293723417462,0.011632872555787498
31,0.0058300968345095594,0.01162968446860358
32,0.00546315760566053,0.011257758098251903
33,0.0041901182650964704,0.00985923431515278
34,0.004183797383277362,0.009851795077029324
35,0.0038146165970794274,0.009407094238299642
36,0.003740923003187011,0.009315784476854697
37,0.003191478510575642,0.008604507351213554
38,0.0031247924283543853,0.008514137008468503
39,0.0029671186306553204,0.008296549390918102
40,0.0028434048216774005,0.008121745855258124
41,0.002712670863810682,0.007932838248906319
42,0.0026880249554316377,0.007896719212848692
43,0.002595633064556897,0.007759820880948309
44,0.0024060341291748002,0.007471037897737611
45,0.0022156219480044485,0.007169318541099559
46,0.0020175733491287007,0.006841395757014978
47,0.0018396332639552876,0.006532744524664426
48,0.001525198039284649,0.005948304149931751
49,0.0011390787546781188,0.005140518466126449
50,0.00100896564044962,0.004838026425513281
51,0.0009445139920293451,0.004680952624323012
52,0.0008672349131278101,0.004485371553348022
53,0.0008037120254593249,0.004317976564844025
54,0.0006092162034218709,0.0037593760525632533
55,0.0005594054683673809,0.0036024121723815883
56,0.00054498047515525,0.0035556624006875385
57,0.0004488512446308448,0.0032268684778798784
58,0.0004179351672083503,0.003113755487563773
59,0.0003848681004185205,0.0029880372404590097
60,0.00038168139452746997,0.0029756410605574564
61,0.00037798810911194523,0.0029612093816410944
62,0.0003404307317143447,0.002810246572732232
63,0.000325836476110897,0.0027493491615622604
64,0.0002939953626427638,0.0026115616816090198
65,0.0002832873026390364,0.002563560683445775
66,0.00021374326625627814,0.00222677464976774
67,0.00018862851689845086,0.0020918653331143985
68,0.00018132971808103087,0.002050994713090719
69,0.00018086998758322863,0.0020483930898357768
70,0.0001492610171132621,0.0018608152049200103
71,0.00013283790162852714,0.0017554604566592915
72,0.00013110454193927348,0.0017439696248719003
73,0.0001237747910590815,0.001694517852361669
74,0.00011936137004915378,0.0016640330404440024
75,0.00011708423358191618,0.0016480836708565902
76,0.00011619244733336602,0.0016417952593936651
77,0.00011044594553086705,0.001600681540197919
78,0.00010706496583465015,0.001575991021924517
79,0.00010632115365132417,0.001570507041267376
80,8.770465106397342e-05,0.0014264000987265044
81,8.695301334196195e-05,0.001420274750283109
82,8.285380721970314e-05,0.0013863927622729832
83,7.92601016914446e-05,0.0013559927274717828
84,7.87150570233663e-05,0.0013513223348515045
85,7.214552189149566e-05,0.0012937034532500501
86,7.212995109224832e-05,0.0012935638390145488
87,6.587875758637588e-05,0.0012362398753252106
88,6.471970761543405e-05,0.0012253166108314425
89,6.468388760827787e-05,0.0012249774797841553
90,5.773193638167541e-05,0.0011572790996943947
