x,y,label,color
-33.24129690110436,-56.19516673776047,3,#31688e
29.858681121988173,60.259351614473616,9,#fde725
-38.227480265699946,49.18361170060997,7,#6ece58
-73.10579899128443,-32.91478762172289,6,#35b779
41.43942109066883,-21.606324951195905,1,#482878
43.25355734818228,-35.00203302317099,1,#482878
52.89652263913281,-3.895003444750824,0,#440154
2.713199918460262,67.34221898685108,8,#b5de2b
-67.2815984495068,-12.851057636753962,6,#35b779
-42.72200979192911,46.60168500682831,7,#6ece58
55.647140571063304,2.8574025331858435,0,#440154
30.019325643874616,72.06051883019293,9,#fde725
1.3247130170600212,48.033944701616974,8,#b5de2b
34.75347595777989,-47.87549386639852,2,#3e4989
33.93091761381158,-17.02821236733588,1,#482878
32.0830614251468,-9.663859363562947,1,#482878
6.993947988111263,-40.00697637424056,3,#31688e
-52.773388131795635,-31.493210541221085,5,#1f9e89
-28.558545647830485,-37.69145646066102,4,#26828e
11.71186693393818,-10.170990246428543,2,#3e4989
-46.79990892892322,15.056552222964452,6,#35b779
38.278097902802486,-2.2501842488754678,1,#482878
13.188580404125169,-14.996572145629063,2,#3e4989
-14.419086621942864,-40.46271611572015,3,#31688e
-29.166059101913966,-25.44088838566008,4,#26828e
-13.858833226331253,53.982607688259286,7,#6ece58
28.203515202202123,-9.211909160240513,2,#3e4989
-39.06969743460581,-17.82557448624603,5,#1f9e89
-61.146447946532106,-10.482515219993505,5,#1f9e89
53.35113780436031,-0.22105572640030205,0,#440154
-55.63371710347622,-3.1750531795612815,6,#35b779
36.4049163839219,-18.26180647679963,1,#482878
61.26626021073264,-39.26062178716922,0,#440154
19.390772749550738,81.46061479855938,9,#fde725
35.64635141910357,59.11176655818924,9,#fde725
-12.923534602432564,66.7898406979564,8,#b5de2b
17.16551372265638,-48.957093810501625,3,#31688e
44.11618266272232,0.9733710912253567,1,#482878
-41.376323328780664,34.15827345181856,6,#35b779
-49.186725440204256,-57.228591548487564,4,#26828e
37.096711288931076,4.325626498324384,1,#482878
-37.57692405637925,-21.515939327452873,5,#1f9e89
66.71762720118723,-50.59082811317073,0,#440154
21.323397579655616,53.23644306861914,9,#fde725
24.18729401004099,-34.339104592057105,2,#3e4989
-53.87151034904069,34.35397045804286,6,#35b779
8.758230084060228,-21.88397142790657,3,#31688e
-35.25675848474385,-10.625054784978209,5,#1f9e89
-64.68096118038649,-38.05682341948959,5,#1f9e89
40.78821486243815,-51.30005899648265,1,#482878
25.070471439803285,82.09380293363813,9,#fde725
-18.488777585061786,60.452458708599934,7,#6ece58
33.289627347669445,51.51617190808865,9,#fde725
17.795707463400387,52.79917871981888,8,#b5de2b
-70.50757375316088,-30.367191320121595,6,#35b779
18.927602700639323,67.79533912547961,9,#fde725
57.12810071008623,-33.360911779893826,0,#440154
37.49839970778546,-46.71689277478724,2,#3e4989
