x,y,label,color
-59.47580585982756,81.5773051351674,9,#17becf
78.01971607938638,-56.59633848547279,0,#1f77b4
7.235995147216756,-37.045139363211554,0,#1f77b4
19.49519068606891,-40.34219270929757,3,#d62728
27.707409841839738,-68.82243963665726,0,#1f77b4
42.28658203352297,41.92736808114471,2,#2ca02c
-93.12438717010738,-10.006300479618144,7,#7f7f7f
65.56267602919743,69.08711438142105,2,#2ca02c
-33.11379374254882,36.80661179352862,5,#8c564b
-43.86399814993334,40.453473762170056,5,#8c564b
56.862350879064586,-59.59462684746802,0,#1f77b4
-17.461785027301232,83.93120692126777,9,#17becf
-73.21431175206395,19.092751104735907,5,#8c564b
-64.36330202635185,5.291450646994398,5,#8c564b
-80.34953591465987,-24.931962556389866,7,#7f7f7f
-69.24027368947027,66.03846045036738,9,#17becf
3.378326991105797,-100.36387793099169,1,#ff7f0e
65.46503937732257,-61.46492912358515,0,#1f77b4
40.16668112333599,49.032293040475736,6,#e377c2
21.872840848178225,2.170567710722758,4,#9467bd
24.398214248763825,-61.223122346352746,3,#d62728
-1.9900115367121505,-91.78838171140166,1,#ff7f0e
50.79117288926066,3.175229822565096,4,#9467bd
5.75078231624234,53.49222806250878,8,#bcbd22
75.98802466409236,14.05002716037903,4,#9467bd
49.63447903364595,-28.660153425146984,3,#d62728
75.446414814689,-39.79746969023285,0,#1f77b4
57.447526354431616,64.87115316203715,2,#2ca02c
48.423479692590625,14.838902077196515,4,#9467bd
69.80548300170699,36.602625704220095,4,#9467bd
-51.27120759957197,-23.385527827520185,5,#8c564b
9.188942060380535,-47.832535932499624,3,#d62728
57.86527385464752,29.429356615784776,6,#e377c2
13.573839027290889,9.918191671027222,6,#e377c2
11.427399775119278,-12.823839454151276,0,#1f77b4
-9.96478950440367,-4.671318382588147,8,#bcbd22
-8.8884952836453,-11.793844320035513,5,#8c564b
23.022381620157798,31.43434859691244,2,#2ca02c
-41.392759190202845,-92.09861258484587,1,#ff7f0e
70.21982705082851,18.23904250422478,6,#e377c2
59.66471296531331,35.671849107954856,6,#e377c2
