x,y,label,color
-60.42350988898954,96.72792307599481,9,#17becf
75.51650486001249,-75.61998326884968,0,#1f77b4
0.8417517770650942,-34.031515931451445,0,#1f77b4
16.728276826601615,-47.56489359920723,3,#d62728
9.242082409408136,-84.9112728754448,0,#1f77b4
48.80403729198692,49.808971440716746,2,#2ca02c
-95.40337490026526,-13.114239321294333,7,#7f7f7f
81.91569327118754,77.16602323671324,2,#2ca02c
-23.740420581759935,42.48000963528273,5,#8c564b
-37.628689058861326,38.479541803051575,5,#8c564b
40.405892662243026,-86.01221422396424,0,#1f77b4
-9.658823444826455,108.99748418517827,9,#17becf
-66.66834250201558,21.75726815358609,5,#8c564b
-59.10159582688826,1.355761063547716,5,#8c564b
-81.02717376817361,-36.4650430238869,7,#7f7f7f
-70.74084485079129,73.0080930244928,9,#17becf
3.5753511928720974,-109.84789865672663,1,#ff7f0e
54.75191008208612,-73.10148144013823,0,#1f77b4
46.01988261324522,60.832949214918514,6,#e377c2
20.482179847329252,-0.009886286189428889,4,#9467bd
5.069168900470638,-73.18538569037081,3,#d62728
-4.356559013896029,-99.3328144904743,1,#ff7f0e
52.75679513587412,-0.609151318752722,4,#9467bd
11.098377683367683,71.35734117039235,8,#bcbd22
89.437888925491,8.722438635246958,4,#9467bd
55.08877106616852,-34.3040125056742,3,#d62728
76.85192011187337,-59.36157847988243,0,#1f77b4
71.15885877998475,72.36467186093182,2,#2ca02c
51.582522272469895,13.408212466481004,4,#9467bd
81.38916376394691,34.59130957261414,4,#9467bd
-45.08332879465675,-31.16839380646966,5,#8c564b
-5.00277740300868,-46.54379195497577,3,#d62728
66.52527581977803,26.12045625385909,6,#e377c2
10.902704274912251,11.068729357745339,6,#e377c2
11.345004340476537,-17.585410149510402,0,#1f77b4
-8.351115912962447,-2.0430094606772022,8,#bcbd22
-39.99214060092789,52.792387825362,5,#8c564b
22.930926540058923,39.17203778001873,2,#2ca02c
-55.44268325263104,-99.2260751823385,1,#ff7f0e
78.8889859351223,14.589164703464707,6,#e377c2
69.11383989738928,35.55922563996824,6,#e377c2
-88.89851774780279,19.478376320129932,7,#7f7f7f
-86.58984056121027,70.6868727572711,9,#17becf
-69.09052719941556,6.785179974690491,5,#8c564b
-17.43989787875174,85.35477120150762,9,#17becf
52.660526558234515,45.19916990947022,2,#2ca02c
-89.8133323449616,-0.9235541029639518,7,#7f7f7f
67.56985882878476,-41.709212155311626,3,#d62728
60.40077668796184,-60.4892086915832,0,#1f77b4
69.58746860190789,-29.812762989634567,3,#d62728
-22.76783744534304,-67.75942794027571,3,#d62728
-3.7001277765527485,-74.07634785787562,3,#d62728
-93.94672580990924,-4.647187561477728,7,#7f7f7f
84.0365707553067,51.33194411919898,2,#2ca02c
30.098807880844674,-2.6178456416680924,2,#2ca02c
69.72889448561645,-70.14784239503796,6,#e377c2
29.051816550287278,-56.91529816465225,6,#e377c2
-15.829780205585504,-14.437892859439254,8,#bcbd22
-16.73522984254602,-67.6960328960115,3,#d62728
-27.942642282851754,-43.27859528958142,3,#d62728
-50.191053173664,46.045448341892076,5,#8c564b
39.98390245357776,-39.75550000882443,0,#1f77b4
-52.48558689076896,-2.676743001349402,5,#8c564b
-38.06942042275116,-28.850008820978726,5,#8c564b
23.38934125456538,-77.94730774704958,0,#1f77b4
53.775571634013176,60.16135137364956,2,#2ca02c
66.82831153566532,-80.38307897489778,0,#1f77b4
21.751596755764606,-74.03996178981319,0,#1f77b4
54.503427130650444,36.03974499202278,4,#9467bd
-53.062319197384184,-60.70727341304048,1,#ff7f0e
97.48405962437064,-30.14247187943999,3,#d62728
-19.07857182970546,-107.96705423796098,1,#ff7f0e
37.31334694589799,-53.918901897827524,6,#e377c2
-1.3408735906884215,-80.03544988494565,3,#d62728
-36.652054313086666,-102.18575617509129,1,#ff7f0e
72.79372504523839,-22.204037634234847,4,#9467bd
53.807010471533005,-11.498365727044034,4,#9467bd
78.75661688465918,-57.71658159429078,6,#e377c2
-45.32174115325549,-82.48093902997805,1,#ff7f0e
-36.065193174585225,75.18561212222717,9,#17becf
-16.64906663908193,-97.15638171956721,1,#ff7f0e
-2.9750149915820514,-39.16283533847001,3,#d62728
-34.91399279767157,35.470033442663855,5,#8c564b
-110.3203043633294,-2.350948441010964,7,#7f7f7f
-35.483476301025995,111.66034513236352,9,#17becf
-75.37215427472924,17.32799120461622,7,#7f7f7f
