x,y,label,color
8.966005204731733,2.410615166890391,CD4 T cells,#2ca02c
4.429314783964031,32.725949560326455,B cells,#1f77b4
16.463899536141973,-9.844603383934217,CD4 T cells,#2ca02c
-34.27985686475688,-5.582198135551704,CD14+ Monocytes,#ff7f0e
32.09214140050616,-20.092982682280972,NK cells,#17becf
24.67866149485964,-1.4596171430930136,CD8 T cells,#d62728
16.052148515465667,-14.310830635126841,CD8 T cells,#d62728
21.385761059621903,-9.474462877042116,CD8 T cells,#d62728
18.90285267064136,-11.55140744958999,CD4 T cells,#2ca02c
-29.759071350967165,-9.210551085813982,FCGR3A+ Monocytes,#e377c2
-4.954130316554273,36.52844109921417,B cells,#1f77b4
3.095761144640712,4.718027389125951,CD4 T cells,#2ca02c
0.9329569635341056,0.08789091604086167,CD4 T cells,#2ca02c
-36.36244496002063,0.07780172009821856,CD14+ Monocytes,#ff7f0e
21.176842852460286,-14.585921773990778,CD8 T cells,#d62728
8.015331150216365,-3.41962181233237,CD4 T cells,#2ca02c
-35.64721214471739,-3.7453311878376634,CD14+ Monocytes,#ff7f0e
14.913633572857181,-5.2888515751521865,CD4 T cells,#2ca02c
3.1944299568321157,32.320306900345656,B cells,#1f77b4
1.2795515473249945,33.23200881781389,B cells,#1f77b4
4.602664407572207,37.98591938942701,B cells,#1f77b4
-1.2905686342638707,-3.185526568250489,CD4 T cells,#2ca02c
-34.375665461959855,3.775210745263168,CD14+ Monocytes,#ff7f0e
-1.4609517490370896,35.26555087609737,B cells,#1f77b4
8.428004135887386,0.12393281728176755,CD4 T cells,#2ca02c
10.660226844941436,4.291918685863883,CD4 T cells,#2ca02c
-5.579642238409253,-8.344375338218553,CD4 T cells,#2ca02c
4.840106284041303,9.69477288111715,CD4 T cells,#2ca02c
4.7335765041459785,-14.168907509958157,CD4 T cells,#2ca02c
-27.736289072279785,-12.852001968826498,FCGR3A+ Monocytes,#e377c2
19.317742881669115,-10.398423510109946,CD8 T cells,#d62728
-2.676808183039624,35.76692021738694,B cells,#1f77b4
