x,y,label,color
8.442034873977613,4.053974270263009,CD4 T cells,#2ca02c
-0.5760967712271882,16.918790466038526,B cells,#1f77b4
7.017630123062137,-4.333497969907382,CD4 T cells,#2ca02c
-17.968508187389016,-2.5222902135651046,CD14+ Monocytes,#ff7f0e
13.57688868859009,-10.180140814614143,NK cells,#17becf
12.485785353719226,-0.1576081497213366,CD8 T cells,#d62728
9.91305459967569,-4.577916721310916,CD8 T cells,#d62728
9.181098907212098,-4.860062216012892,CD8 T cells,#d62728
7.976473892288671,-6.53775026384049,CD4 T cells,#2ca02c
-16.629934674522715,-4.129079607306288,FCGR3A+ Monocytes,#e377c2
-1.2331163865438448,17.209401309214858,B cells,#1f77b4
6.960351539116656,0.14678989635766582,CD4 T cells,#2ca02c
3.0222231177463175,0.6197596059221196,CD4 T cells,#2ca02c
-19.518095970472714,-0.4557655137809359,CD14+ Monocytes,#ff7f0e
10.266811257485642,-6.231003543020361,CD8 T cells,#d62728
5.1093736032285335,-1.0696831277866967,CD4 T cells,#2ca02c
-18.525014051624108,-1.8240644762514457,CD14+ Monocytes,#ff7f0e
8.37762002463216,-2.11716466281587,CD4 T cells,#2ca02c
-1.0695229838228035,15.70289877473861,B cells,#1f77b4
-3.684384517989182,15.502307599498497,B cells,#1f77b4
-0.8135971603840362,16.968632327854724,B cells,#1f77b4
3.9700795547136583,-0.5294571470003707,CD4 T cells,#2ca02c
-19.028989618263648,0.7228420662042983,CD14+ Monocytes,#ff7f0e
-2.341582783865497,16.253782685682687,B cells,#1f77b4
5.618571147879397,-0.3508723426154946,CD4 T cells,#2ca02c
8.206771545366903,1.6852450447310614,CD4 T cells,#2ca02c
1.0304507604572302,-2.50050251678247,CD4 T cells,#2ca02c
7.19296312501164,2.815627939265079,CD4 T cells,#2ca02c
4.4801015304542045,-6.022623006656861,CD4 T cells,#2ca02c
-15.591195069341403,-5.1363770312906505,FCGR3A+ Monocytes,#e377c2
8.618834354256254,-5.421520303292144,CD8 T cells,#d62728
-3.507083987618252,16.760842150134263,B cells,#1f77b4
-18.26583613760511,-0.6293918563778955,CD14+ Monocytes,#ff7f0e
4.245210364274803,-4.627847704108088,CD4 T cells,#2ca02c
