rank,p_standard,p_smooth_gamma0.5
1,0.1434500518237039,0.053029250469886595
2,0.12335754742282636,0.04917541085527381
3,0.07747499628864768,0.038971391786156606
4,0.07545466302737203,0.038459902236993054
5,0.05307127536149571,0.03225484031422929
6,0.05001956909810957,0.031313751951698214
7,0.04869774350346743,0.030897230508088975
8,0.044306769120293896,0.029471359835247877
9,0.027463815154260107,0.02320307627527944
10,0.020276172968586872,0.0199369228221073
11,0.020192567041692623,0.019895776824884383
12,0.018355261746369134,0.01896904317187682
13,0.015519634393148648,0.017442385350148828
14,0.012843371523838461,0.01586735933035642
15,0.012603548928570307,0.01571851666432296
16,0.012124781678243449,0.015417078994111506
17,0.01195511050299261,0.015308827566997195
18,0.011544788757244491,0.015043820032230633
19,0.01010493996714739,0.014074468482655407
20,0.00966756209385905,0.013766502535111289
21,0.009270477831646433,0.013480816397484123
22,0.009141485828831297,0.01338669994865712
23,0.007978258790799293,0.01250602215421982
24,0.007654302873228688,0.012249488530733536
25,0.007633544630384379,0.012232867128724328
26,0.007569767905479649,0.012181658376574327
27,0.007019367291592001,0.01173043501213755
28,0.006803228931490486,0.011548422831956107
29,0.0067077545668668675,0.011467103061877834
30,0.006651169042610045,0.01141863331844339
31,0.006392861563072788,0.01119470835862325
32,0.005350004005479377,0.010240995789202297
33,0.0044091642402246806,0.009297009446281137
34,0.004156210859403623,0.009026386391164605
35,0.0039794641501710104,0.00883237362701479
36,0.00382789603058747,0.008662538956199688
37,0.0036592557353837835,0.008469572990075773
38,0.003432737301192575,0.0082032400155448
39,0.0033826725336796497,0.008143200209441669
40,0.0033283312236286216,0.008077526725075623
41,0.0032445770653219915,0.007975247708577474
42,0.003161277600782785,0.007872206015632634
43,0.00297320886636944,0.0076344515551598074
44,0.0029693320426506546,0.007629472578125908
45,0.002817839813878875,0.0074323009098745335
46,0.0027428207587214524,0.007332698828389852
47,0.0027242577848361283,0.007307843433975408
48,0.0025279484060150076,0.007039620332384255
49,0.0025166373407538036,0.007023853619358679
50,0.0025164199585251366,0.007023550259414415
51,0.0024224294901558975,0.006891134181577323
52,0.0022923428668549443,0.006703551062980317
53,0.0022395406990583515,0.00662589598014905
54,0.002141303703081997,0.0064789446239140935
55,0.002114499680835531,0.006438266446927706
56,0.001993374163896513,0.006251144621668944
57,0.0018479028261150757,0.006018727747781133
58,0.0018471139349391715,0.006017442878249979
59,0.0018397653267310373,0.006005460970058149
60,0.0016659178276761083,0.005714680069427989
61,0.0015835910492803568,0.005571686256518836
62,0.0014797021159943967,0.005385825539546619
63,0.0014235584469733493,0.005282661527496235
64,0.0014043150236740457,0.005246834976868808
65,0.0013485892500038376,0.005141679248503016
66,0.001326492804443258,0.0050993824296955495
67,0.0013168384008950655,0.005080791525323514
68,0.0013129407990471807,0.005073266844468137
69,0.0013037595781549064,0.0050554973839727095
70,0.0012975962404417419,0.005043533656100109
71,0.0012892440315395801,0.0050272756514453355
72,0.0012815998868433462,0.005012349712523822
73,0.0012612900691320642,0.0049724751582482215
74,0.0012060859880834727,0.004862440163316278
75,0.001197197099805158,0.004844488865113833
76,0.0011094294312956707,0.004663532153050627
77,0.0010941311497479236,0.004631267061277784
78,0.0010661469839366032,0.004571657383137598
79,0.0010609177723402076,0.00456043212533343
80,0.001026948037337151,0.0044868274543255066
81,0.0009930975143209052,0.004412259851160971
82,0.0009904582441404557,0.0044063929080560265
83,0.0009659947838031829,0.00435163563658739
84,0.0009416894972288153,0.004296541365158494
85,0.0009283632486969039,0.004266031950650247
86,0.0008913899958572269,0.004180218777913437
87,0.0008910241382474905,0.004179360835926327
88,0.0008672323033487787,0.004123185341223464
89,0.0008591426237095059,0.004103909422270282
90,0.0008505975968546372,0.004083449694071427
